description,go_BioProc,go_CellComp,go_MolFunc,proteinname
"Nonhistone component of centromeric chromatin that binds stoichiometrically to CenH3-H4 histones, required for kinetochore assembly; required for G2/M progression and localization of Cse4p; may protect Cse4p from ubiquitylation","G2/M transition of mitotic cell cycle:chromosome segregation:kinetochore assembly:protein localization to chromosome, centromeric region:negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process","condensed nuclear chromosome, centromeric region:nucleus:cytoplasm",histone binding:CENP-A containing nucleosome binding,Scm3p
"MADS-box transcription factor, component of the protein kinase C-mediated MAP kinase pathway involved in the maintenance of cell integrity; phosphorylated and activated by the MAP-kinase Slt2p","MAPK cascade:transcription, DNA-templated:regulation of transcription, DNA-templated:signal transduction:positive regulation of transcription from RNA polymerase II promoter in response to stress:positive regulation of transcription from RNA polymerase II promoter",nucleus,"RNA polymerase II regulatory region sequence-specific DNA binding:transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding:DNA binding:DNA binding, bending:sequence-specific DNA binding:protein dimerization activity",Rlm1p
"Probable pantetheine-phosphate adenylyltransferase (PPAT), which catalyzes the fourth step in the biosynthesis of coenzyme A from pantothenate; null mutant lethality is complemented by E. coli coaD (encoding PPAT); widely conserved",biosynthetic process:coenzyme A biosynthetic process:phosphorylation,nucleus:cytoplasm:CoA-synthesizing protein complex,nucleotide binding:catalytic activity:dephospho-CoA kinase activity:pantetheine-phosphate adenylyltransferase activity:ATP binding:transferase activity:nucleotidyltransferase activity,Cab4p
One of 10 subunits of the transport protein particle (TRAPP) complex of the cis-Golgi which mediates vesicle docking and fusion; involved in endoplasmic reticulum (ER) to Golgi membrane traffic; human homolog is TRAPPC4,transport:ER to Golgi vesicle-mediated transport:autophagy:vesicle-mediated transport:positive regulation of GTPase activity:chromosome organization,pre-autophagosomal structure:endoplasmic reticulum:Golgi apparatus:cis-Golgi network:TRAPP complex:TRAPPI protein complex:TRAPPII protein complex:TRAPPIII protein complex,Rab guanyl-nucleotide exchange factor activity,Trs23p
Member of the protein disulfide isomerase (PDI) family; interacts with and inhibits the chaperone activity of Cne1p; MPD1 overexpression in a pdi1 null mutant suppresses defects in Pdi1p functions such as carboxypeptidase Y maturation,protein folding:glycerol ether metabolic process:response to endoplasmic reticulum stress:cell redox homeostasis:oxidation-reduction process,fungal-type vacuole:endoplasmic reticulum:endoplasmic reticulum lumen,protein disulfide isomerase activity:protein binding:electron carrier activity:protein disulfide oxidoreductase activity:isomerase activity:protein-disulfide reductase (glutathione) activity,Mpd1p
Plasma membrane H+-pantothenate symporter; confers sensitivity to the antifungal agent fenpropimorph,transport:endocytosis:pantothenate transmembrane transport:transmembrane transport,fungal-type vacuole:fungal-type vacuole membrane:plasma membrane:membrane:integral component of membrane:cell periphery,pantothenate transmembrane transporter activity,Fen2p
Protein with roles in exocytosis and cation homeostasis; functions in docking and fusion of post-Golgi vesicles with plasma membrane; homolog of Sro7p and Drosophila lethal giant larvae tumor suppressor; interacts with SNARE protein Sec9p,exocytosis:Golgi to plasma membrane transport:regulation of exocytosis:establishment of cell polarity:positive regulation of GTPase activity:regulation of protein secretion,cytoplasm:plasma membrane:cellular bud neck,molecular_function unknown:GTPase activator activity:Rab GTPase binding:syntaxin binding,Sro77p
"Possible chaperone and cysteine protease with similarity to E. coli Hsp31 and S. cerevisiae Hsp31p, Hsp33p, and Sno4p; member of the DJ-1/ThiJ/PfpI superfamily, which includes human DJ-1 involved in Parkinson's disease",proteolysis:response to stress:biological_process unknown:methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione:lactate biosynthetic process:cellular response to nutrient levels,P-body:cellular_component unknown:cytoplasm:cytoplasmic stress granule,peptidase activity:cysteine-type peptidase activity:hydrolase activity:lyase activity:glyoxalase III activity:unfolded protein binding,Hsp32p
Protein of unknown function with similarity to Tfs1p; transcription is activated by paralogous proteins Yrm1p and Yrr1p along with proteins involved in multidrug resistance; GFP-tagged protein localizes to the cytoplasm and nucleus,biological_process unknown,nucleus:cytoplasm,molecular_function unknown,YLR179C
"Cytochrome b2 (L-lactate cytochrome-c oxidoreductase), component of the mitochondrial intermembrane space, required for lactate utilization; expression is repressed by glucose and anaerobic conditions",lactate metabolic process:electron transport chain:oxidation-reduction process,nucleus:mitochondrion:mitochondrial intermembrane space:respiratory chain,catalytic activity:L-lactate dehydrogenase (cytochrome) activity:FMN binding:oxidoreductase activity:heme binding:metal ion binding,Cyb2p
"Nuclear actin-related protein involved in chromatin remodeling, component of chromatin-remodeling enzyme complexes; has mRNA binding activity","double-strand break repair:mitotic recombination:chromatin remodeling:transcription, DNA-templated:regulation of transcription, DNA-templated:cellular response to DNA damage stimulus:DNA duplex unwinding",nucleus:cytoplasm:cytoskeleton:Ino80 complex,nucleotide binding:mRNA binding:ATP binding:ATP-dependent 3'-5' DNA helicase activity,Arp8p
Cleavage and polyadenylation factor I (CF I) component involved in cleavage and polyadenylation of mRNA 3' ends; interacts with the A-rich polyadenylation signal in complex with Rna14p and Hrp1p; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay; required for gene looping,mRNA polyadenylation:mRNA cleavage:mRNA processing:mRNA 3'-end processing:response to DNA damage checkpoint signaling:pre-mRNA cleavage required for polyadenylation,nucleus:mRNA cleavage and polyadenylation specificity factor complex:mRNA cleavage factor complex,nucleotide binding:nucleic acid binding:RNA binding:mRNA binding:protein heterodimerization activity,Rna15p
Component of the Nup82 subcomplex of the nuclear pore complex; required for polyadenylated RNA export but not for protein import; homologous to S. pombe Rae1p,transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery:posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery:protein import into nucleus:transport:protein transport:poly(A)+ mRNA export from nucleus:nuclear pore distribution:mRNA transport:regulation of mRNA export from nucleus in response to heat stress,nucleus:nuclear pore:cytoplasm:membrane:integral component of membrane:nuclear membrane,molecular_function unknown:RNA binding:ubiquitin binding,Gle2p
Chitin synthase II; catalyzes transfer of N-acetylglucosamine (GlcNAc) to chitin upon activation of zymogenic form; required for chitin synthesis in the primary septum during cytokinesis; localization regulated by Cdk1p during mitosis,cytokinesis:actomyosin contractile ring contraction:barrier septum site selection:chitin biosynthetic process:cell wall chitin biosynthetic process:fungal-type cell wall organization:cell wall organization,cellular bud neck:membrane:integral component of membrane:cell septum:cell periphery,"chitin synthase activity:transferase activity:transferase activity, transferring glycosyl groups:transferase activity, transferring hexosyl groups",Chs2p
"Constituent of 66S pre-ribosomal particles, has similarity to human translation initiation factor 6 (eIF6); may be involved in the biogenesis and or stability of 60S ribosomal subunits","ribosomal subunit export from nucleus:maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA):maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA):rRNA processing:translation:translational initiation:ribosome biogenesis:mature ribosome assembly:ribosomal large subunit biogenesis:assembly of large subunit precursor of preribosome","nucleus:nucleolus:cytoplasm:cytosol:preribosome, large subunit precursor",translation initiation factor activity:ribosome binding:ribosomal large subunit binding,Tif6p
Cell-wall L-asparaginase II involved in asparagine catabolism; expression induced during nitrogen starvation; ORF contains a short non-coding RNA that enhances expression of full-length gene; reference strain S288C has four copies of ASP3,cellular amino acid metabolic process:asparagine metabolic process:asparagine catabolic process:cellular response to nitrogen starvation,extracellular region:cytoplasm:cell wall-bounded periplasmic space:periplasmic space,asparaginase activity:hydrolase activity,Asp3-2p
